family,genus,species,latin_name,common_name,xc_id,local_file_path,quality,duration
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,722959,phylloscopidae/Phylloscopus_bonelli/722959.mp3,A,0:29
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,734487,phylloscopidae/Phylloscopus_bonelli/734487.mp3,A,0:13
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,909410,phylloscopidae/Phylloscopus_bonelli/909410.mp3,A,0:18
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,1000139,phylloscopidae/Phylloscopus_sibilatrix/1000139.mp3,A,0:24
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,911173,phylloscopidae/Phylloscopus_sibilatrix/911173.mp3,A,0:21
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,905276,phylloscopidae/Phylloscopus_sibilatrix/905276.mp3,A,0:28
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,900651,phylloscopidae/Phylloscopus_sibilatrix/900651.mp3,A,0:15
phylloscopidae,Phylloscopus,bonelli,Phylloscopus_bonelli,Western Bonelli's Warbler,808553,phylloscopidae/Phylloscopus_bonelli/808553.mp3,A,0:20
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,899724,phylloscopidae/Phylloscopus_sibilatrix/899724.mp3,A,0:20
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,899722,phylloscopidae/Phylloscopus_sibilatrix/899722.mp3,A,0:20
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,843693,phylloscopidae/Phylloscopus_sibilatrix/843693.mp3,A,0:29
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,803561,phylloscopidae/Phylloscopus_sibilatrix/803561.mp3,A,0:29
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,808176,phylloscopidae/Phylloscopus_sibilatrix/808176.mp3,A,0:29
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1090750,phylloscopidae/Phylloscopus_collybita/1090750.mp3,A,0:28
phylloscopidae,Phylloscopus,sibilatrix,Phylloscopus_sibilatrix,Wood Warbler,904325,phylloscopidae/Phylloscopus_sibilatrix/904325.mp3,A,0:22
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1071008,phylloscopidae/Phylloscopus_collybita/1071008.mp3,A,0:14
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1089185,phylloscopidae/Phylloscopus_collybita/1089185.mp3,A,0:16
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1033984,phylloscopidae/Phylloscopus_collybita/1033984.mp3,A,0:20
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1090500,phylloscopidae/Phylloscopus_collybita/1090500.mp3,A,0:15
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,900489,phylloscopidae/Phylloscopus_collybita/900489.mp3,A,0:26
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,1090502,phylloscopidae/Phylloscopus_collybita/1090502.mp3,A,0:19
phylloscopidae,Phylloscopus,collybita,Phylloscopus_collybita,Common Chiffchaff,879588,phylloscopidae/Phylloscopus_collybita/879588.mp3,A,0:23
phylloscopidae,Phylloscopus,humei,Phylloscopus_humei,Hume's Leaf Warbler,1029896,phylloscopidae/Phylloscopus_humei/1029896.mp3,A,0:13
phylloscopidae,Phylloscopus,humei,Phylloscopus_humei,Hume's Leaf Warbler,1029891,phylloscopidae/Phylloscopus_humei/1029891.mp3,A,0:18
phylloscopidae,Phylloscopus,humei,Phylloscopus_humei,Hume's Leaf Warbler,819043,phylloscopidae/Phylloscopus_humei/819043.mp3,A,0:15
